source,target,relationship_type
REAG - TRUST ADMINISTRACAO DE RECURSOS LTDA,REAG TRUST PARTNERS LTDA,company_to_socio
REAG - TRUST ADMINISTRACAO DE RECURSOS LTDA,MARCOS ANTONIO DA COSTA BAPTISTA,company_to_socio
REAG - TRUST ADMINISTRACAO DE RECURSOS LTDA,MARCOS FERREIRA COSTA,company_to_socio
REAG - TRUST ADMINISTRACAO DE RECURSOS LTDA,ARTHUR CAIXETA NOGUEIRA,company_to_socio
REAG - TRUST ADMINISTRACAO DE RECURSOS LTDA,LEONARDO DE SOUZA CARVALHO,company_to_socio
REAG - TRUST HOLDING FINANCEIRA LTDA,JOAO CARLOS FALBO MANSUR,company_to_socio
REAG - TRUST HOLDING FINANCEIRA LTDA,RSF PARTICIPACOES LTDA.,company_to_socio
REAG - SECURITIES S.A,WALTER MARTINS FERREIRA III,company_to_socio
REAG - SECURITIES S.A,MARISA BIANCULLI NASSAR,company_to_socio
REAG - SECURITIES S.A,JOAO CARLOS FALBO MANSUR,company_to_socio
REAG - SECURITIES S.A,KLERMANN DE PENNAFORT CALDAS NETO,company_to_socio
REAG - SECURITIES S.A,THIAGO SOUZA GRAMARI,company_to_socio
REAG - GESTAO DE CREDITO LTDA,LEONARDO RUSSO CALIXTO,company_to_socio
REAG - GESTAO DE CREDITO LTDA,AQUILES FELDMAN,company_to_socio
REAG - GESTAO DE CREDITO LTDA,JOSE EDUARDO DE ASSUNCAO,company_to_socio
REAG - GESTAO DE CREDITO LTDA,GUILHERME VIVAN LAGNADO,company_to_socio
REAG - GESTAO DE CREDITO LTDA,ANA CINTIA SIQUEIRA ARAUJO,company_to_socio
REAG - GESTAO DE CREDITO LTDA,PRISCILA ALVES DE OLIVEIRA,company_to_socio
REAG - GESTAO DE CREDITO LTDA,SERGIO EDMUNDO SALFATIS,company_to_socio
REAG - GESTAO DE CREDITO LTDA,MARIA EDUARDA SUPPI FERRARI,company_to_socio
